idx,maximum_speed,speed_limit,average_speed,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,bike,motorcycle,StrType
10459,36,50,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
14493,13,40,10,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Council Minor
13940,18,40,11,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Council Minor
33785,35,50,26,12,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Council Minor
13341,18,40,15,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40594,78,50,55,612,1,50,3,1,0,1,0,0,0,0,0,0,6,4,Arterial
14354,9,40,6,66,0,3,0,0,0,0,0,0,0,0,0,0,60,0,Council Minor
22512,55,60,48,36,0,2,1,0,0,0,0,0,0,0,0,0,3,0,Arterial
22612,69,60,48,258,1,18,4,6,0,0,0,0,0,0,0,0,2,5,Arterial
10689,40,50,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
47661,20,20,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11772,70,50,44,429,0,2,1,0,2,0,0,0,0,0,0,2,14,9,Arterial
14713,12,40,10,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Council Minor
13930,7,40,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
38441,60,50,35,1252,14,41,4,9,0,0,0,0,0,0,0,0,2,15,Arterial
13200,27,40,16,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
11757,64,50,42,443,2,20,2,4,2,1,0,0,0,0,0,5,9,4,Arterial
11786,77,50,40,706,3,40,4,1,0,1,0,0,1,0,0,11,13,16,Arterial
13719,20,40,14,40,0,0,0,0,0,0,0,0,0,0,0,0,17,0,Council Minor
40427,70,50,33,708,3,11,3,4,0,0,0,2,0,0,0,0,24,25,Arterial
14595,14,40,12,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Council Minor
38660,18,25,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
13453,22,40,16,29,0,0,0,0,0,0,0,0,0,0,0,0,11,0,Council Minor
47529,16,20,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
15549,36,50,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11847,76,50,47,156,0,6,0,0,0,0,0,0,0,0,0,0,2,0,Arterial
40577,90,50,55,105,0,3,9,0,0,0,0,0,0,0,0,0,5,2,Arterial
47283,29,20,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
22442,64,60,46,404,3,20,14,3,1,0,1,0,0,0,0,0,31,5,Arterial
20972,70,60,45,1031,8,102,5,7,0,3,3,6,4,0,0,0,3,9,Arterial
15484,25,50,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38314,61,50,33,1915,32,34,9,3,1,12,1,1,1,0,0,0,23,58,Arterial
20781,66,60,35,1088,3,85,14,10,2,0,0,2,2,0,0,0,5,19,Arterial
8503,46,50,29,15,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Council Minor
38537,34,50,20,491,1,19,9,4,2,0,1,1,0,0,0,0,15,26,Arterial
20789,68,60,42,736,0,44,5,5,0,0,0,5,3,0,0,0,8,5,Arterial
8576,39,50,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
20991,96,60,49,498,4,32,8,6,4,0,0,4,6,0,0,0,6,1,Arterial
22530,62,60,46,106,0,4,3,0,0,0,0,1,0,0,0,0,0,2,Arterial
14048,13,40,11,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
38579,59,50,38,616,4,6,11,2,0,0,0,1,0,0,0,0,28,7,Arterial
38643,25,25,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40530,75,50,56,135,1,1,1,0,0,0,0,0,0,0,0,0,3,4,Arterial
13896,19,40,11,9,0,2,0,0,0,0,0,0,0,0,0,0,4,1,Council Minor
33868,28,50,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11908,68,50,39,666,2,19,1,0,0,1,0,0,0,0,0,1,7,14,Arterial
21012,71,60,53,304,0,5,17,0,0,0,0,1,0,0,0,0,24,8,Arterial
40455,81,50,53,453,2,6,5,1,0,1,0,0,0,0,0,0,12,5,Arterial
20829,66,60,45,929,3,29,0,1,0,0,0,0,0,0,0,0,1,6,Arterial
40419,68,50,50,429,3,26,8,1,0,1,0,2,0,0,0,0,2,4,Arterial
15838,11,40,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Council Minor
14734,17,40,11,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Council Minor
8619,43,50,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
20827,66,60,42,1087,4,43,4,6,0,0,0,0,0,0,0,0,0,10,Arterial
40665,80,50,56,458,0,30,2,0,0,0,0,0,0,0,0,0,6,7,Arterial
13346,16,40,12,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
38616,60,50,38,484,2,3,2,3,1,0,0,0,0,0,0,0,5,2,Arterial
40474,77,50,49,833,7,44,4,1,1,1,0,1,0,0,0,0,10,17,Arterial
47682,21,20,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
10388,43,50,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
14218,12,40,7,21,0,4,0,0,0,0,0,0,0,0,0,0,17,0,Council Minor
22715,71,60,50,480,1,54,3,2,0,0,0,1,0,0,0,0,1,10,Arterial
13733,21,40,14,22,0,0,0,0,0,0,0,0,0,0,0,0,13,0,Council Minor
14530,23,40,19,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Council Minor
13805,20,40,12,3,0,2,0,0,0,0,0,1,0,0,0,0,0,1,Council Minor
15598,35,50,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
21061,72,60,49,390,1,36,13,2,0,1,0,2,0,0,0,0,12,6,Arterial
33970,43,50,22,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Council Minor
8417,42,50,26,38,0,1,0,0,0,0,0,0,0,0,0,0,2,4,Council Minor
14188,7,40,6,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Council Minor
47686,14,20,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
15952,19,40,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
10734,46,50,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
47519,12,20,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
22672,68,60,48,221,1,4,0,0,1,0,0,1,0,0,0,0,2,5,Arterial
40393,103,50,51,356,2,15,10,2,0,0,2,3,1,0,0,0,15,5,Arterial
11780,65,50,46,305,0,12,11,1,0,2,0,0,1,0,0,2,37,6,Arterial
10586,65,50,32,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
47427,20,20,14,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
40475,74,50,45,776,7,16,1,1,2,1,0,0,0,0,0,0,18,15,Arterial
38299,59,50,30,1559,10,23,5,1,1,4,1,4,0,0,0,0,8,26,Arterial
10279,57,50,43,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
10639,36,50,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
15567,35,50,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
33766,30,50,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Council Minor
22519,68,60,46,322,4,24,3,6,0,0,0,1,0,0,0,0,0,8,Arterial
14714,12,40,10,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Council Minor
11691,83,50,39,725,0,64,5,1,0,1,0,0,0,0,0,8,11,14,Arterial
13465,22,40,16,43,0,1,0,0,0,0,0,0,0,0,0,0,7,0,Council Minor
38325,54,50,32,1307,5,9,0,2,0,0,0,1,0,0,0,0,4,15,Arterial
20966,78,60,49,619,1,47,23,6,2,0,1,2,0,0,0,0,32,5,Arterial
40550,82,50,53,395,1,9,0,0,0,0,0,0,1,0,0,0,7,8,Arterial
22498,67,60,46,257,2,4,0,0,1,0,0,0,0,0,0,0,1,0,Arterial
21093,86,60,44,1165,1,82,6,3,1,2,0,1,3,0,0,0,4,16,Arterial
11776,69,50,47,63,0,4,3,0,0,0,0,0,0,0,0,1,1,1,Arterial
38318,47,50,28,1318,8,82,7,5,3,1,2,1,0,0,0,0,3,9,Arterial
33721,43,50,23,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Council Minor
22673,88,60,51,231,0,9,0,0,0,0,0,0,0,0,0,0,0,4,Arterial
33764,28,50,21,11,0,1,0,0,0,0,0,0,0,0,0,0,1,2,Council Minor
14365,28,40,8,24,0,1,0,0,0,0,0,0,0,0,0,0,21,0,Council Minor
8437,34,50,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Council Minor
20850,67,60,42,1087,3,23,2,1,1,0,0,1,1,0,0,0,4,12,Arterial
15559,30,50,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
20846,66,60,48,543,3,16,2,1,0,1,0,0,0,0,0,0,0,8,Arterial
10707,57,50,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
14611,17,40,12,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,Council Minor
14200,25,40,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Council Minor
22698,76,60,51,200,0,4,1,0,0,0,0,0,0,0,0,0,0,1,Arterial
13459,20,40,18,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
8514,28,50,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
22594,80,60,48,362,0,37,9,3,1,1,0,1,0,0,0,0,0,10,Arterial
22418,68,60,44,428,4,26,11,2,0,0,0,0,0,0,0,0,14,6,Arterial
11958,68,50,30,621,2,58,1,0,2,0,1,0,0,0,0,2,9,13,Arterial
