significance, numeric, boundedBy, ci_high, lga_name06, vic_ave, lga_code06, ci_low
"none",46.1,[141.81722259,-38.61015766,143.10728061,-37.76170739],53.0,"Moyne (S)",50.7,25490,39.4
"none",46.3,[146.5664631,-37.2755383,147.39225776,-36.39242427],53.4,"Alpine (S)",50.7,20110,39.3
"none",45.2,[142.35348022,-37.83658331,143.29129187,-37.1427804],53.6,"Ararat (RC)",50.7,20260,37.0
"none",49.2,[143.59522493,-37.71598647,143.95069549,-37.3213967],52.3,"Ballarat (C)",50.7,20570,46.1
"none",56.6,[145.02784,-37.78508956,145.14370349,-37.68262416],63.3,"Banyule (C)",50.7,20660,49.6
"better",59.4,[145.10944781,-38.67879995,145.8185191,-38.29164677],66.1,"Bass Coast (S)",50.7,20740,52.3
"none",45.0,[145.70091632,-38.36005184,146.58727485,-37.57990759],52.6,"Baw Baw (S)",50.7,20830,37.7
"better",71.6,[144.98338166,-37.99644679,145.0552673,-37.88327352],77.7,"Bayside (C)",50.7,20910,64.7
"none",44.3,[145.77537264,-36.925765,146.28079507,-36.25496176],51.4,"Benalla (RC)",50.7,21010,37.6
"better",65.4,[144.99925792,-37.87594147,145.10668259,-37.77686118],72.0,"Boroondara (C)",50.7,21110,58.1
"worse",36.5,[144.74441277,-37.82283157,144.88845984,-37.66291019],42.2,"Brimbank (C)",50.7,21180,31.2
"none",49.9,[142.53544019,-36.49993866,143.5687319,-35.19282675],58.4,"Buloke (S)",50.7,21270,41.4
"worse",35.4,[144.25887501,-36.76294323,145.15770138,-35.88274348],42.0,"Campaspe (S)",50.7,21370,29.3
"worse",40.5,[145.36420813,-38.33250213,145.76509578,-37.85893153],48.2,"Cardinia (S)",50.7,21450,33.3
"worse",41.9,[145.21492874,-38.24849304,145.43064634,-37.94189029],47.1,"Casey (C)",50.7,21610,36.9
"none",47.0,[143.46335379,-37.24262096,144.01378365,-36.7211133],53.8,"Central Goldfields (S)",50.7,21670,40.4
"none",46.9,[143.24729821,-38.85769296,143.94610589,-38.01976204],54.3,"Colac-Otway (S)",50.7,21750,39.7
"worse",41.9,[142.81460099,-38.77298802,143.65624755,-37.65913014],49.3,"Corangamite (S)",50.7,21830,34.8
"none",47.9,[144.97034003,-37.78563096,145.07539773,-37.69099902],55.2,"Darebin (C)",50.7,21890,40.6
"none",55.6,[147.18922822,-38.07884808,149.97667901,-36.61242765],62.7,"East Gippsland (S)",50.7,22110,48.2
"worse",42.0,[145.09790496,-38.20065219,145.23958333,-38.06739541],49.5,"Frankston (C)",50.7,22170,34.8
"worse",40.5,[143.28813962,-36.01834457,144.41818326,-35.44588497],47.7,"Gannawarra (S)",50.7,22250,33.7
"none",58.8,[144.99674525,-37.93875202,145.08523661,-37.86022524],65.8,"Glen Eira (C)",50.7,22310,51.5
"none",46.0,[140.96573514,-38.43296807,141.91955254,-37.35345035],53.5,"Glenelg (S)",50.7,22410,38.8
"worse",41.7,[143.44045232,-38.14666185,144.28624422,-37.55786716],48.2,"Golden Plains (S)",50.7,22490,35.4
"none",46.4,[144.02586595,-37.06028069,144.85326086,-36.38518394],53.4,"Greater Bendigo (C)",50.7,22620,39.6
"worse",37.0,[145.12959789,-38.07767699,145.25185357,-37.92456135],44.8,"Greater Dandenong (C)",50.7,22670,29.8
"none",52.2,[144.20251987,-38.30259559,144.72021491,-37.80105293],57.5,"Greater Geelong (C)",50.7,22750,46.8
"none",44.6,[145.03065229,-36.70055531,145.79920986,-36.15427519],52.2,"Greater Shepparton (C)",50.7,22830,37.3
"none",44.1,[143.64792589,-37.48647875,144.41916013,-37.14773353],51.4,"Hepburn (S)",50.7,22910,37.1
"none",52.7,[141.22644493,-36.5674568,142.23906691,-35.49841206],60.4,"Hindmarsh (S)",50.7,22980,44.8
"none",50.0,[144.75143203,-37.90004131,144.91552406,-37.81383345],57.2,"Hobsons Bay (C)",50.7,23110,42.8
"none",44.6,[141.6576041,-37.22447263,142.57526797,-36.43266343],51.6,"Horsham (RC)",50.7,23190,37.8
